ACCESSION_NUMBER,ID,ISSUEJURISDICTIONSECUROFFERING
0002064142-25-000001,8,DE
0002064142-25-000001,10,FL
0002064142-25-000001,12,HI
0002064142-25-000001,14,IL
0002064142-25-000001,16,IA
0002064142-25-000001,18,KY
0002064142-25-000001,20,ME
0002064142-25-000001,22,MA
0002064142-25-000001,24,MN
0002064142-25-000001,26,MO
0002064142-25-000001,28,NE
0002064142-25-000001,30,NH
0002064142-25-000001,32,NM
0002064142-25-000001,34,NC
0002064142-25-000001,36,OH
0002064142-25-000001,38,OR
0002064142-25-000001,40,PR
0002064142-25-000001,42,SC
0002064142-25-000001,44,TN
0002064142-25-000001,46,UT
0002064142-25-000001,48,WA
0002064142-25-000001,13,ID
0002011617-25-000005,26,MO
0002011617-25-000005,28,NE
0002011617-25-000005,30,NH
0002011617-25-000005,58,A5
0002011617-25-000005,60,A7
0002011617-25-000005,62,A9
0002011617-25-000005,64,Z4
0002011617-25-000005,32,NM
0002011617-25-000005,34,NC
0002011617-25-000005,36,OH
0002011617-25-000005,38,OR
0002011617-25-000005,40,PR
0002011617-25-000005,42,SC
0002011617-25-000005,44,TN
0002011617-25-000005,46,UT
0002011617-25-000005,48,VA
0002011617-25-000005,50,WV
0002011617-25-000005,52,WY
0002011617-25-000005,54,A1
0002011617-25-000005,56,A3
0002011617-25-000005,2,AK
0002011617-25-000005,4,AR
0002011617-25-000005,6,CO
0002011617-25-000005,8,DE
0002011617-25-000005,10,FL
0002011617-25-000005,12,HI
0002011617-25-000005,1,AL
0002011617-25-000005,3,AZ
0002011617-25-000005,5,CA
0002011617-25-000005,7,CT
0002011617-25-000005,9,DC
0002011617-25-000005,11,GA
0002011617-25-000005,13,ID
0002011617-25-000005,15,IN
0002011617-25-000005,17,KS
0002011617-25-000005,19,LA
0002011617-25-000005,21,MD
0002011617-25-000005,23,MI
0002011617-25-000005,25,MS
0002011617-25-000005,27,MT
0002011617-25-000005,29,NV
0002011617-25-000005,31,NJ
0002011617-25-000005,33,NY
0002011617-25-000005,35,ND
0002011617-25-000005,37,OK
0002011617-25-000005,39,PA
0002011617-25-000005,41,RI
0002011617-25-000005,43,SD
0002011617-25-000005,45,TX
0002011617-25-000005,47,VT
0002011617-25-000005,49,WA
0002011617-25-000005,51,WI
0002011617-25-000005,53,A0
0002011617-25-000005,55,A2
0002011617-25-000005,57,A4
0002011617-25-000005,59,A6
0002011617-25-000005,61,A8
0002011617-25-000005,63,B0
0002011617-25-000005,14,IL
0002011617-25-000005,16,IA
0002011617-25-000005,18,KY
0002011617-25-000005,20,ME
0002011617-25-000005,22,MA
0002011617-25-000005,24,MN
0002069232-25-000003,1,AL
0002069232-25-000003,52,WY
0002069232-25-000003,5,CA
0002069232-25-000003,7,CT
0002069232-25-000003,9,DC
0002069232-25-000003,11,GA
0002069232-25-000003,13,ID
0002069232-25-000003,15,IN
0002069232-25-000003,17,KS
0002069232-25-000003,19,LA
0002069232-25-000003,21,MD
0002069232-25-000003,23,MI
0002069232-25-000003,25,MS
0002069232-25-000003,27,MT
0002069232-25-000003,29,NV
0002069232-25-000003,31,NJ
0002069232-25-000003,33,NY
0002069232-25-000003,35,ND
0002069232-25-000003,37,OK
0002069232-25-000003,39,PA
0002069232-25-000003,41,RI
0002069232-25-000003,43,SD
0002069232-25-000003,45,TX
0002069232-25-000003,47,VT
0002069232-25-000003,49,WA
0002069232-25-000003,51,WI
0002069232-25-000003,22,MA
0002069232-25-000003,24,MN
0002069232-25-000003,26,MO
0002069232-25-000003,28,NE
0002069232-25-000003,30,NH
0002069232-25-000003,32,NM
0002069232-25-000003,34,NC
0002069232-25-000003,36,OH
0002069232-25-000003,38,OR
0002069232-25-000003,40,PR
0002069232-25-000003,42,SC
0002069232-25-000003,2,AK
0002069232-25-000003,4,AR
0002069232-25-000003,6,CO
0002069232-25-000003,8,DE
0002069232-25-000003,10,FL
0002069232-25-000003,12,HI
0002069232-25-000003,14,IL
0002069232-25-000003,16,IA
0002069232-25-000003,18,KY
0002069232-25-000003,20,ME
0002069232-25-000003,44,TN
0002069232-25-000003,46,UT
0002069232-25-000003,48,VA
0002069232-25-000003,50,WV
0002069232-25-000003,3,AZ
0002012810-25-000008,1,AL
0002012810-25-000008,56,1V
0002012810-25-000008,5,CA
0002012810-25-000008,7,CT
0002012810-25-000008,9,DC
0002012810-25-000008,11,GA
0002012810-25-000008,13,HI
0002012810-25-000008,15,IL
0002012810-25-000008,17,IA
0002012810-25-000008,19,KY
0002012810-25-000008,21,ME
0002012810-25-000008,23,MA
0002012810-25-000008,25,MN
0002012810-25-000008,27,MO
0002012810-25-000008,29,NE
0002012810-25-000008,31,NH
0002012810-25-000008,33,NM
0002012810-25-000008,35,NC
0002012810-25-000008,37,OH
0002012810-25-000008,39,OR
0002012810-25-000008,41,PR
0002012810-25-000008,43,SC
0002012810-25-000008,45,TN
0002012810-25-000008,47,UT
0002012810-25-000008,49,VI
0002012810-25-000008,51,WA
0002012810-25-000008,53,WI
0002012810-25-000008,55,B5
0002012810-25-000008,2,AK
0002012810-25-000008,4,AR
0002012810-25-000008,6,CO
0002012810-25-000008,8,DE
0002012810-25-000008,10,FL
0002012810-25-000008,12,GU
0002012810-25-000008,14,ID
0002012810-25-000008,16,IN
0002012810-25-000008,18,KS
0002012810-25-000008,20,LA
0002012810-25-000008,22,MD
0002012810-25-000008,24,MI
0002012810-25-000008,26,MS
0002012810-25-000008,28,MT
0002012810-25-000008,30,NV
0002012810-25-000008,32,NJ
0002012810-25-000008,34,NY
0002012810-25-000008,36,ND
0002012810-25-000008,38,OK
0002012810-25-000008,40,PA
0002012810-25-000008,42,RI
0002012810-25-000008,44,SD
0002012810-25-000008,46,TX
0002012810-25-000008,48,VT
0002012810-25-000008,50,VA
0002012810-25-000008,52,WV
0002012810-25-000008,54,WY
0002012810-25-000008,3,AZ
0002042357-25-000004,1,AL
0002042357-25-000004,64,Z4
0002042357-25-000004,5,CA
0002042357-25-000004,7,CT
0002042357-25-000004,9,DC
0002042357-25-000004,11,GA
0002042357-25-000004,13,ID
0002042357-25-000004,15,IN
0002042357-25-000004,17,KS
0002042357-25-000004,19,LA
0002042357-25-000004,21,MD
0002042357-25-000004,23,MI
0002042357-25-000004,25,MS
0002042357-25-000004,27,MT
0002042357-25-000004,29,NV
0002042357-25-000004,31,NJ
0002042357-25-000004,33,NY
0002042357-25-000004,35,ND
0002042357-25-000004,37,OK
0002042357-25-000004,39,PA
0002042357-25-000004,41,RI
0002042357-25-000004,43,SD
0002042357-25-000004,45,TX
0002042357-25-000004,47,VT
0002042357-25-000004,49,WA
0002042357-25-000004,51,WI
0002042357-25-000004,53,A0
0002042357-25-000004,55,A2
0002042357-25-000004,57,A4
0002042357-25-000004,59,A6
0002042357-25-000004,61,A8
0002042357-25-000004,63,B0
0002042357-25-000004,2,AK
0002042357-25-000004,4,AR
0002042357-25-000004,6,CO
0002042357-25-000004,8,DE
0002042357-25-000004,10,FL
0002042357-25-000004,12,HI
0002042357-25-000004,14,IL
0002042357-25-000004,16,IA
0002042357-25-000004,18,KY
0002042357-25-000004,20,ME
0002042357-25-000004,22,MA
0002042357-25-000004,24,MN
0002042357-25-000004,26,MO
0002042357-25-000004,28,NE
0002042357-25-000004,30,NH
0002042357-25-000004,32,NM
0002042357-25-000004,34,NC
0002042357-25-000004,36,OH
0002042357-25-000004,38,OR
0002042357-25-000004,40,PR
0002042357-25-000004,42,SC
0002042357-25-000004,44,TN
0002042357-25-000004,46,UT
0002042357-25-000004,48,VA
0002042357-25-000004,50,WV
0002042357-25-000004,52,WY
0002042357-25-000004,54,A1
0002042357-25-000004,56,A3
0002042357-25-000004,58,A5
0002042357-25-000004,60,A7
0002042357-25-000004,62,A9
0002042357-25-000004,3,AZ
0002063604-25-000147,1,AL
0002063604-25-000147,4,AR
0002063604-25-000147,6,CO
0002063604-25-000147,8,DE
0002063604-25-000147,10,FL
0002063604-25-000147,12,HI
0002063604-25-000147,14,IL
0002063604-25-000147,16,IA
0002063604-25-000147,18,KY
0002063604-25-000147,20,ME
0002063604-25-000147,22,MA
0002063604-25-000147,24,MN
0002063604-25-000147,26,MO
0002063604-25-000147,28,NE
0002063604-25-000147,30,NH
0002063604-25-000147,32,NM
0002063604-25-000147,34,NC
0002063604-25-000147,36,OH
0002063604-25-000147,38,OR
0002063604-25-000147,40,PR
0002063604-25-000147,42,SC
0002063604-25-000147,44,TN
0002063604-25-000147,46,UT
0002063604-25-000147,48,VA
0002063604-25-000147,50,WV
0002063604-25-000147,52,WY
0002063604-25-000147,54,A1
0002063604-25-000147,56,A3
0002063604-25-000147,58,A5
0002063604-25-000147,60,A7
0002063604-25-000147,62,A9
0002063604-25-000147,64,Z4
0002068151-25-000002,14,IL
0002068151-25-000002,16,IA
0002068151-25-000002,18,KY
0002068151-25-000002,20,ME
0002068151-25-000002,22,MA
0002068151-25-000002,24,MN
0002068151-25-000002,26,MO
0002068151-25-000002,28,NE
0002068151-25-000002,30,NH
0002068151-25-000002,32,NM
0002068151-25-000002,34,NC
0002068151-25-000002,36,OH
0002068151-25-000002,38,OR
0002068151-25-000002,40,PR
0002068151-25-000002,42,SC
0002068151-25-000002,44,TN
0002068151-25-000002,46,UT
0002068151-25-000002,48,VA
0002068151-25-000002,50,WV
0002068151-25-000002,52,WY
0002063604-25-000147,29,NV
0002063604-25-000147,31,NJ
0002063604-25-000147,33,NY
0002063604-25-000147,35,ND
0002063604-25-000147,37,OK
0002063604-25-000147,39,PA
0002063604-25-000147,43,SD
0002063604-25-000147,45,TX
0002063604-25-000147,47,VT
0002063604-25-000147,49,WA
0002063604-25-000147,51,WI
0002063604-25-000147,53,A0
0002063604-25-000147,55,A2
0002063604-25-000147,57,A4
0002063604-25-000147,59,A6
0002063604-25-000147,61,A8
0002063604-25-000147,63,B0
0002068151-25-000002,51,WI
0002068151-25-000002,1,AL
0002068151-25-000002,3,AZ
0002068151-25-000002,5,CA
0002068151-25-000002,7,CT
0002068151-25-000002,9,DC
0002068151-25-000002,11,GA
0002063604-25-000147,2,AK
0002063604-25-000147,5,CA
0002063604-25-000147,7,CT
0002063604-25-000147,9,DC
0002063604-25-000147,11,GA
0002063604-25-000147,13,ID
0002063604-25-000147,15,IN
0002063604-25-000147,17,KS
0002063604-25-000147,19,LA
0002063604-25-000147,21,MD
0002063604-25-000147,23,MI
0002063604-25-000147,25,MS
0002063604-25-000147,27,MT
0002068151-25-000002,13,ID
0002068151-25-000002,15,IN
0002068151-25-000002,17,KS
0002068151-25-000002,19,LA
0002068151-25-000002,21,MD
0002068151-25-000002,23,MI
0002068151-25-000002,25,MS
0002068151-25-000002,27,MT
0002068151-25-000002,29,NV
0002068151-25-000002,31,NJ
0002068151-25-000002,33,NY
0002068151-25-000002,35,ND
0002068151-25-000002,37,OK
0002068151-25-000002,39,PA
0002068151-25-000002,41,RI
0002068151-25-000002,43,SD
0002068151-25-000002,45,TX
0002068151-25-000002,47,VT
0002068151-25-000002,49,WA
0002063604-25-000147,3,AZ
0002063604-25-000147,41,RI
0002068151-25-000002,2,AK
0002068151-25-000002,4,AR
0002068151-25-000002,6,CO
0002068151-25-000002,8,DE
0002068151-25-000002,10,FL
0002068151-25-000002,12,HI
0001099910-25-000174,29,NH
0001099910-25-000174,56,VI
0001099910-25-000174,33,NC
0001099910-25-000174,35,OH
0001099910-25-000174,37,OR
0001099910-25-000174,39,RI
0001099910-25-000174,41,SD
0001099910-25-000174,43,TX
0001099910-25-000174,45,VT
0001099910-25-000174,47,WA
0001099910-25-000174,49,WI
0001099910-25-000174,51,DC
0001099910-25-000174,53,GU
0001099910-25-000174,55,1V
0001099910-25-000174,1,AL
0001099910-25-000174,3,AZ
0001099910-25-000174,5,CA
0001099910-25-000174,7,CT
0001099910-25-000174,9,FL
0001099910-25-000174,11,HI
0001099910-25-000174,13,IL
0001099910-25-000174,15,IA
0001099910-25-000174,17,KY
0001099910-25-000174,19,ME
0001099910-25-000174,21,MA
0001099910-25-000174,23,MN
0001099910-25-000174,25,MO
0001099910-25-000174,27,NE
0001099910-25-000174,2,AK
0001099910-25-000174,4,AR
0001099910-25-000174,6,CO
0001099910-25-000174,8,DE
0001099910-25-000174,10,GA
0001099910-25-000174,12,ID
0001099910-25-000174,14,IN
0001099910-25-000174,16,KS
0001099910-25-000174,18,LA
0001099910-25-000174,20,MD
0001099910-25-000174,22,MI
0001099910-25-000174,24,MS
0001099910-25-000174,26,MT
0001099910-25-000174,28,NV
0001099910-25-000174,30,NJ
0001099910-25-000174,32,NY
0001099910-25-000174,34,ND
0001099910-25-000174,36,OK
0001099910-25-000174,38,PA
0001099910-25-000174,40,SC
0001099910-25-000174,42,TN
0001099910-25-000174,44,UT
0001099910-25-000174,46,VA
0001099910-25-000174,48,WV
0001099910-25-000174,50,WY
0001099910-25-000174,52,B5
0001099910-25-000174,54,PR
0001099910-25-000174,31,NM
0002073287-25-000002,45,TX
0002073287-25-000002,11,GA
0002073287-25-000002,49,WA
0002073287-25-000002,4,AR
0002073287-25-000002,6,CO
0002073287-25-000002,8,DE
0002073287-25-000002,10,FL
0002073287-25-000002,12,HI
0002073287-25-000002,14,IL
0002073287-25-000002,16,IA
0002073287-25-000002,19,LA
0002073287-25-000002,21,MD
0002073287-25-000002,23,MI
0002073287-25-000002,25,MS
0002073287-25-000002,27,MT
0002073287-25-000002,29,NV
0002073287-25-000002,31,NJ
0002073287-25-000002,33,NY
0002073287-25-000002,35,ND
0002073287-25-000002,37,OK
0002073287-25-000002,39,PA
0002073287-25-000002,41,RI
0002073287-25-000002,43,SD
0002073287-25-000002,51,WI
0002073287-25-000002,13,ID
0002073287-25-000002,15,IN
0002073287-25-000002,17,KS
0002073287-25-000002,18,KY
0002073287-25-000002,50,WV
0002073287-25-000002,2,AK
0002073287-25-000002,20,ME
0002073287-25-000002,22,MA
0002073287-25-000002,24,MN
0002073287-25-000002,26,MO
0002073287-25-000002,28,NE
0002073287-25-000002,30,NH
0002073287-25-000002,32,NM
0002073287-25-000002,34,NC
0002073287-25-000002,36,OH
0002073287-25-000002,38,OR
0002073287-25-000002,40,PR
0002073287-25-000002,42,SC
0002073287-25-000002,44,TN
0002073287-25-000002,46,UT
0002073287-25-000002,48,VA
0002073287-25-000002,52,WY
0002073287-25-000002,1,AL
0002073287-25-000002,3,AZ
0002073287-25-000002,5,CA
0002073287-25-000002,7,CT
0002073287-25-000002,9,DC
0002073287-25-000002,47,VT
0002063604-25-000146,22,MA
0002063604-25-000146,24,MN
0002063604-25-000146,26,MO
0002063604-25-000146,28,NE
0002063604-25-000146,30,NH
0002063604-25-000146,32,NM
0002063604-25-000146,34,NC
0002063604-25-000146,36,OH
0002063604-25-000146,38,OR
0002063604-25-000146,40,PR
0002063604-25-000146,42,SC
0002063604-25-000146,44,TN
0002063604-25-000146,46,UT
0002063604-25-000146,48,VA
0002063604-25-000146,50,WV
0002063604-25-000146,52,WY
0002063604-25-000146,54,A1
0002063604-25-000146,56,A3
0002063604-25-000146,58,A5
0002063604-25-000146,60,A7
0002063604-25-000146,62,A9
0002063604-25-000146,64,Z4
0002063604-25-000146,1,AL
0002063604-25-000146,3,AZ
0002063604-25-000146,5,CA
0002063604-25-000146,7,CT
0002063604-25-000146,9,DC
0002063604-25-000146,11,GA
0002063604-25-000146,13,ID
0002063604-25-000146,16,IA
0002063604-25-000146,18,KY
0002063604-25-000146,20,ME
0002063604-25-000146,15,IN
0002063604-25-000146,2,AK
0002063604-25-000146,4,AR
0002063604-25-000146,6,CO
0002063604-25-000146,8,DE
0002063604-25-000146,10,FL
0002063604-25-000146,12,HI
0002063604-25-000146,14,IL
0002063604-25-000146,17,KS
0002063604-25-000146,19,LA
0002063604-25-000146,21,MD
0002063604-25-000146,23,MI
0002063604-25-000146,25,MS
0002063604-25-000146,27,MT
0002063604-25-000146,29,NV
0002063604-25-000146,31,NJ
0002063604-25-000146,33,NY
0002063604-25-000146,35,ND
0002063604-25-000146,37,OK
0002063604-25-000146,39,PA
0002063604-25-000146,41,RI
0002063604-25-000146,43,SD
0002063604-25-000146,45,TX
0002063604-25-000146,47,VT
0002063604-25-000146,49,WA
0002063604-25-000146,51,WI
0002063604-25-000146,53,A0
0002063604-25-000146,55,A2
0002063604-25-000146,57,A4
0002063604-25-000146,59,A6
0002063604-25-000146,61,A8
0002063604-25-000146,63,B0
0002063604-25-000145,1,AL
0002063604-25-000145,6,CO
0002063604-25-000145,5,CA
0002063604-25-000145,7,CT
0002063604-25-000145,9,DC
0002063604-25-000145,12,HI
0002063604-25-000145,14,IL
0002063604-25-000145,16,IA
0002063604-25-000145,18,KY
0002063604-25-000145,20,ME
0002063604-25-000145,22,MA
0002063604-25-000145,24,MN
0002063604-25-000145,26,MO
0002063604-25-000145,28,NE
0002063604-25-000145,30,NH
0002063604-25-000145,32,NM
0002063604-25-000145,34,NC
0002063604-25-000145,36,OH
0002063604-25-000145,38,OR
0002063604-25-000145,40,PR
0002063604-25-000145,42,SC
0002063604-25-000145,44,TN
0002063604-25-000145,46,UT
0002063604-25-000145,48,VA
0002063604-25-000145,50,WV
0002063604-25-000145,52,WY
0002063604-25-000145,54,A1
0002063604-25-000145,56,A3
0002063604-25-000145,58,A5
0002063604-25-000145,60,A7
0002063604-25-000145,62,A9
0002063604-25-000145,64,Z4
0002063604-25-000145,11,GA
0002063604-25-000145,35,ND
0002063604-25-000145,8,DE
0002063604-25-000145,10,FL
0002063604-25-000145,13,ID
0002063604-25-000145,15,IN
0002063604-25-000145,17,KS
0002063604-25-000145,19,LA
0002063604-25-000145,21,MD
0002063604-25-000145,23,MI
0002063604-25-000145,25,MS
0002063604-25-000145,27,MT
0002063604-25-000145,29,NV
0002063604-25-000145,31,NJ
0002063604-25-000145,33,NY
0002063604-25-000145,37,OK
0002063604-25-000145,39,PA
0002063604-25-000145,41,RI
0002063604-25-000145,43,SD
0002063604-25-000145,45,TX
0002063604-25-000145,47,VT
0002063604-25-000145,49,WA
0002063604-25-000145,51,WI
0002063604-25-000145,53,A0
0002063604-25-000145,55,A2
0002063604-25-000145,57,A4
0002063604-25-000145,59,A6
0002063604-25-000145,61,A8
0002063604-25-000145,63,B0
0002063604-25-000145,2,AK
0002063604-25-000145,4,AR
0002063604-25-000145,3,AZ
0001670254-25-000663,2,AK
0001670254-25-000663,55,VI
0001670254-25-000663,6,CO
0001670254-25-000663,8,DE
0001670254-25-000663,10,FL
0001670254-25-000663,12,HI
0001670254-25-000663,14,IL
0001670254-25-000663,16,IA
0001670254-25-000663,18,KY
0001670254-25-000663,20,ME
0001670254-25-000663,22,MA
0001670254-25-000663,24,MN
0001670254-25-000663,26,MO
0001670254-25-000663,28,NE
0001670254-25-000663,30,NH
0001670254-25-000663,32,NM
0001670254-25-000663,34,NC
0001670254-25-000663,36,OH
0001670254-25-000663,38,OR
0001670254-25-000663,40,RI
0001670254-25-000663,7,CT
0001670254-25-000663,42,SD
0001670254-25-000663,44,TX
0001670254-25-000663,46,VT
0001670254-25-000663,48,WA
0001670254-25-000663,50,WI
0001670254-25-000663,52,B5
0001670254-25-000663,54,PR
0001670254-25-000663,56,1V
0001670254-25-000663,1,AL
0001670254-25-000663,3,AZ
0001670254-25-000663,5,CA
0001670254-25-000663,9,DC
0001670254-25-000663,11,GA
0001670254-25-000663,13,ID
0001670254-25-000663,15,IN
0001670254-25-000663,17,KS
0001670254-25-000663,19,LA
0001670254-25-000663,21,MD
0001670254-25-000663,23,MI
0001670254-25-000663,25,MS
0001670254-25-000663,27,MT
0001670254-25-000663,29,NV
0001670254-25-000663,31,NJ
0001670254-25-000663,33,NY
0001670254-25-000663,35,ND
0001670254-25-000663,37,OK
0001670254-25-000663,39,PA
0001670254-25-000663,41,SC
0001670254-25-000663,43,TN
0001670254-25-000663,45,UT
0001670254-25-000663,47,VA
0001670254-25-000663,49,WV
0001670254-25-000663,51,WY
0001670254-25-000663,53,GU
0001670254-25-000663,4,AR
0002042357-25-000002,1,AL
0002042357-25-000002,64,Z4
0002042357-25-000002,5,CA
0002042357-25-000002,7,CT
0002042357-25-000002,9,DC
0002042357-25-000002,11,GA
0002042357-25-000002,13,ID
0002042357-25-000002,15,IN
0002042357-25-000002,17,KS
0002042357-25-000002,19,LA
0002042357-25-000002,21,MD
0002042357-25-000002,23,MI
0002042357-25-000002,25,MS
0002042357-25-000002,27,MT
0002042357-25-000002,29,NV
0002042357-25-000002,31,NJ
0002042357-25-000002,33,NY
0002042357-25-000002,35,ND
0002042357-25-000002,37,OK
0002042357-25-000002,39,PA
0002042357-25-000002,41,RI
0002042357-25-000002,43,SD
0002042357-25-000002,45,TX
0002042357-25-000002,47,VT
0002042357-25-000002,49,WA
0002042357-25-000002,51,WI
0002042357-25-000002,53,A0
0002042357-25-000002,55,A2
0002042357-25-000002,57,A4
0002042357-25-000002,59,A6
0002042357-25-000002,61,A8
0002042357-25-000002,63,B0
0002042357-25-000002,2,AK
0002042357-25-000002,4,AR
0002042357-25-000002,6,CO
0002042357-25-000002,8,DE
0002042357-25-000002,10,FL
0002042357-25-000002,12,HI
0002042357-25-000002,14,IL
0002042357-25-000002,16,IA
0002042357-25-000002,18,KY
0002042357-25-000002,20,ME
0002042357-25-000002,22,MA
0002042357-25-000002,24,MN
0002042357-25-000002,26,MO
0002042357-25-000002,28,NE
0002042357-25-000002,30,NH
0002042357-25-000002,32,NM
0002042357-25-000002,34,NC
0002042357-25-000002,36,OH
0002042357-25-000002,38,OR
0002042357-25-000002,40,PR
0002042357-25-000002,42,SC
0002042357-25-000002,44,TN
0002042357-25-000002,46,UT
0002042357-25-000002,48,VA
0002042357-25-000002,50,WV
0002042357-25-000002,52,WY
0002042357-25-000002,54,A1
0002042357-25-000002,56,A3
0002042357-25-000002,58,A5
0002042357-25-000002,60,A7
0002042357-25-000002,62,A9
0002042357-25-000002,3,AZ
0001665160-25-001235,1,AL
0001665160-25-001235,52,WY
0001665160-25-001235,5,CA
0001665160-25-001235,7,CT
0001665160-25-001235,9,DC
0001665160-25-001235,11,GA
0001665160-25-001235,13,ID
0001665160-25-001235,15,IN
0001665160-25-001235,17,KS
0001665160-25-001235,19,LA
0001665160-25-001235,21,MD
0001665160-25-001235,23,MI
0001665160-25-001235,25,MS
0001665160-25-001235,27,MT
0001665160-25-001235,29,NV
0001665160-25-001235,31,NJ
0001665160-25-001235,33,NY
0001665160-25-001235,35,ND
0001665160-25-001235,37,OK
0001665160-25-001235,39,PA
0001665160-25-001235,41,RI
0001665160-25-001235,43,SD
0001665160-25-001235,45,TX
0001665160-25-001235,47,VT
0001665160-25-001235,49,WA
0001665160-25-001235,51,WI
0001665160-25-001235,2,AK
0001665160-25-001235,4,AR
0001665160-25-001235,6,CO
0001665160-25-001235,8,DE
0001665160-25-001235,10,FL
0001665160-25-001235,12,HI
0001665160-25-001235,14,IL
0001665160-25-001235,16,IA
0001665160-25-001235,18,KY
0001665160-25-001235,20,ME
0001665160-25-001235,22,MA
0001665160-25-001235,24,MN
0001665160-25-001235,26,MO
0001665160-25-001235,28,NE
0001665160-25-001235,30,NH
0001665160-25-001235,32,NM
0001665160-25-001235,34,NC
0001665160-25-001235,36,OH
0001665160-25-001235,38,OR
0001665160-25-001235,40,PR
0001665160-25-001235,42,SC
0001665160-25-001235,44,TN
0001665160-25-001235,46,UT
0001665160-25-001235,48,VA
0001665160-25-001235,50,WV
0001665160-25-001235,3,AZ
0002063604-25-000144,11,GA
0002063604-25-000144,9,DC
0002063604-25-000144,15,IN
0002063604-25-000144,17,KS
0002063604-25-000144,19,LA
0002063604-25-000144,21,MD
0002063604-25-000144,23,MI
0002063604-25-000144,25,MS
0002063604-25-000144,27,MT
0002063604-25-000144,29,NV
0002063604-25-000144,31,NJ
0002063604-25-000144,33,NY
0002063604-25-000144,35,ND
0002063604-25-000144,37,OK
0002063604-25-000144,39,PA
0002063604-25-000144,41,RI
0002063604-25-000144,43,SD
0002063604-25-000144,45,TX
0002063604-25-000144,47,VT
0002063604-25-000144,49,WA
0002063604-25-000144,51,WI
0002063604-25-000144,53,A0
0002063604-25-000144,55,A2
0002063604-25-000144,57,A4
0002063604-25-000144,59,A6
0002063604-25-000144,61,A8
0002063604-25-000144,63,B0
0002063604-25-000144,36,OH
0002063604-25-000144,38,OR
0002063604-25-000144,40,PR
0002063604-25-000144,42,SC
0002063604-25-000144,44,TN
0002063604-25-000144,46,UT
0002063604-25-000144,48,VA
0002063604-25-000144,50,WV
0002063604-25-000144,52,WY
0002063604-25-000144,54,A1
0002063604-25-000144,56,A3
0002063604-25-000144,58,A5
0002063604-25-000144,60,A7
0002063604-25-000144,62,A9
0002063604-25-000144,64,Z4
0002063604-25-000144,2,AK
0002063604-25-000144,4,AR
0002063604-25-000144,6,CO
0002063604-25-000144,8,DE
0002063604-25-000144,10,FL
0002063604-25-000144,12,HI
0002063604-25-000144,14,IL
0002063604-25-000144,16,IA
0002063604-25-000144,18,KY
0002063604-25-000144,20,ME
0002063604-25-000144,22,MA
0002063604-25-000144,24,MN
0002063604-25-000144,26,MO
0002063604-25-000144,28,NE
0002063604-25-000144,30,NH
0002063604-25-000144,32,NM
0002063604-25-000144,34,NC
0002063604-25-000144,1,AL
0002063604-25-000144,3,AZ
0002063604-25-000144,5,CA
0002063604-25-000144,7,CT
0002063604-25-000144,13,ID
0001665160-25-001233,12,HI
0001665160-25-001233,14,IL
0001665160-25-001233,16,IA
0001665160-25-001233,18,KY
0001665160-25-001233,20,ME
0001665160-25-001233,22,MA
0001665160-25-001233,2,AK
0001665160-25-001233,4,AR
0001665160-25-001233,6,CO
0001665160-25-001233,8,DC
0001665160-25-001233,24,MN
0001665160-25-001233,26,MO
0001665160-25-001233,28,NE
0001665160-25-001233,30,NH
0001665160-25-001233,32,NM
0001665160-25-001233,34,NC
0001665160-25-001233,36,OH
0001665160-25-001233,38,OR
0001665160-25-001233,40,PR
0001665160-25-001233,42,SC
0001665160-25-001233,44,TN
0001665160-25-001233,46,UT
0001665160-25-001233,48,VA
0001665160-25-001233,50,WV
0001665160-25-001233,52,WY
0001665160-25-001233,35,ND
0001665160-25-001233,37,OK
0001665160-25-001233,39,PA
0001665160-25-001233,41,RI
0001665160-25-001233,43,SD
0001665160-25-001233,45,TX
0001665160-25-001233,47,VT
0001665160-25-001233,49,WA
0001665160-25-001233,51,WI
0001665160-25-001233,1,AL
0001665160-25-001233,3,AZ
0001665160-25-001233,5,CA
0001665160-25-001233,7,CT
0001665160-25-001233,9,DE
0001665160-25-001233,11,GA
0001665160-25-001233,13,ID
0001665160-25-001233,15,IN
0001665160-25-001233,17,KS
0001665160-25-001233,19,LA
0001665160-25-001233,21,MD
0001665160-25-001233,23,MI
0001665160-25-001233,25,MS
0001665160-25-001233,27,MT
0001665160-25-001233,29,NV
0001665160-25-001233,31,NJ
0001665160-25-001233,33,NY
0001665160-25-001233,10,FL
0001923174-25-000005,63,B0
0001923174-25-000005,2,AK
0001923174-25-000005,4,AR
0001923174-25-000005,6,CO
0001923174-25-000005,8,DE
0001923174-25-000005,10,FL
0001923174-25-000005,12,HI
0001923174-25-000005,14,IL
0001923174-25-000005,16,IA
0001923174-25-000005,18,KY
0001923174-25-000005,20,ME
0001923174-25-000005,22,MA
0001923174-25-000005,24,MN
0001923174-25-000005,26,MO
0001923174-25-000005,28,NE
0001923174-25-000005,30,NH
0001923174-25-000005,32,NM
0001923174-25-000005,34,NC
0001923174-25-000005,36,OH
0001923174-25-000005,38,OR
0001923174-25-000005,40,PR
0001923174-25-000005,43,SD
0001923174-25-000005,45,TX
0001923174-25-000005,47,VT
0001923174-25-000005,49,WA
0001923174-25-000005,51,WI
0001923174-25-000005,53,A0
0001923174-25-000005,55,A2
0001923174-25-000005,57,A4
0001923174-25-000005,59,A6
