ACCESSION_NUMBER,ID,ISSUEJURISDICTIONSECUROFFERING
0001665160-25-001256,42,SC
0001665160-25-001256,44,TN
0001665160-25-001256,46,UT
0001665160-25-001256,48,VA
0001665160-25-001256,50,WV
0001665160-25-001256,52,WY
0001670254-25-000671,32,NM
0001670254-25-000671,27,MT
0001670254-25-000671,36,OH
0001670254-25-000671,38,OR
0001670254-25-000671,40,RI
0001670254-25-000671,42,SD
0001670254-25-000671,44,TX
0001670254-25-000671,46,VT
0001670254-25-000671,48,WA
0001670254-25-000671,50,WI
0001670254-25-000671,52,B5
0001670254-25-000671,54,PR
0001670254-25-000671,56,1V
0001670254-25-000671,2,AK
0001670254-25-000671,4,AR
0001670254-25-000671,6,CO
0001670254-25-000671,8,DE
0001670254-25-000671,10,FL
0001670254-25-000671,12,HI
0001670254-25-000671,14,IL
0001670254-25-000671,16,IA
0001670254-25-000671,18,KY
0001670254-25-000671,20,ME
0001670254-25-000671,22,MA
0001670254-25-000671,24,MN
0001670254-25-000671,26,MO
0001670254-25-000671,28,NE
0001670254-25-000671,30,NH
0001670254-25-000671,29,NV
0001670254-25-000671,31,NJ
0001670254-25-000671,33,NY
0001670254-25-000671,35,ND
0001670254-25-000671,37,OK
0001670254-25-000671,39,PA
0001670254-25-000671,41,SC
0001670254-25-000671,43,TN
0001670254-25-000671,45,UT
0001670254-25-000671,47,VA
0001670254-25-000671,49,WV
0001670254-25-000671,51,WY
0001670254-25-000671,53,GU
0001670254-25-000671,55,VI
0001670254-25-000671,1,AL
0001670254-25-000671,3,AZ
0001670254-25-000671,5,CA
0001670254-25-000671,7,CT
0001670254-25-000671,9,DC
0001670254-25-000671,11,GA
0001670254-25-000671,13,ID
0001670254-25-000671,15,IN
0001670254-25-000671,17,KS
0001670254-25-000671,19,LA
0001670254-25-000671,21,MD
0001670254-25-000671,23,MI
0001670254-25-000671,25,MS
0001670254-25-000671,34,NC
0001665160-25-001254,23,MI
0001665160-25-001254,12,HI
0001665160-25-001254,27,MT
0001665160-25-001254,29,NV
0001665160-25-001254,31,NJ
0001665160-25-001254,33,NY
0001665160-25-001254,35,ND
0001665160-25-001254,37,OK
0001665160-25-001254,39,PA
0001665160-25-001254,41,RI
0001665160-25-001254,43,SD
0001665160-25-001254,45,TX
0001665160-25-001254,47,VT
0001665160-25-001254,49,WA
0001665160-25-001254,51,WI
0001665160-25-001254,1,AL
0001665160-25-001254,3,AZ
0001665160-25-001254,5,CA
0001665160-25-001254,7,CT
0001665160-25-001254,9,DE
0001665160-25-001254,11,GA
0001665160-25-001254,13,ID
0001665160-25-001254,15,IN
0001665160-25-001254,17,KS
0001665160-25-001254,19,LA
0001665160-25-001254,21,MD
0001665160-25-001254,14,IL
0001665160-25-001254,16,IA
0001665160-25-001254,18,KY
0001665160-25-001254,20,ME
0001665160-25-001254,22,MA
0001665160-25-001254,24,MN
0001665160-25-001254,26,MO
0001665160-25-001254,28,NE
0001665160-25-001254,30,NH
0001665160-25-001254,32,NM
0001665160-25-001254,34,NC
0001665160-25-001254,36,OH
0001665160-25-001254,38,OR
0001665160-25-001254,40,PR
0001665160-25-001254,42,SC
0001665160-25-001254,44,TN
0001665160-25-001254,46,UT
0001665160-25-001254,48,VA
0001665160-25-001254,50,WV
0001665160-25-001254,52,WY
0001665160-25-001254,2,AK
0001665160-25-001254,4,AR
0001665160-25-001254,6,CO
0001665160-25-001254,8,DC
0001665160-25-001254,10,FL
0001665160-25-001254,25,MS
0001096906-25-001063,1,AL
0001096906-25-001063,52,WY
0001096906-25-001063,5,CA
0001096906-25-001063,7,CT
0001096906-25-001063,9,DC
0001096906-25-001063,11,GA
0001096906-25-001063,13,ID
0001096906-25-001063,15,IN
0001096906-25-001063,17,KS
0001096906-25-001063,19,LA
0001096906-25-001063,21,MD
0001096906-25-001063,23,MI
0001096906-25-001063,25,MS
0001096906-25-001063,27,MT
0001096906-25-001063,29,NV
0001096906-25-001063,31,NJ
0001096906-25-001063,33,NY
0001096906-25-001063,35,ND
0001096906-25-001063,37,OK
0001096906-25-001063,39,PA
0001096906-25-001063,41,RI
0001096906-25-001063,43,SD
0001096906-25-001063,45,TX
0001096906-25-001063,47,VT
0001096906-25-001063,49,WA
0001096906-25-001063,51,WI
0001096906-25-001063,2,AK
0001096906-25-001063,4,AR
0001096906-25-001063,6,CO
0001096906-25-001063,8,DE
0001096906-25-001063,10,FL
0001096906-25-001063,12,HI
0001096906-25-001063,14,IL
0001096906-25-001063,16,IA
0001096906-25-001063,18,KY
0001096906-25-001063,20,ME
0001096906-25-001063,22,MA
0001096906-25-001063,24,MN
0001096906-25-001063,26,MO
0001096906-25-001063,28,NE
0001096906-25-001063,30,NH
0001096906-25-001063,32,NM
0001096906-25-001063,34,NC
0001096906-25-001063,36,OH
0001096906-25-001063,38,OR
0001096906-25-001063,40,PR
0001096906-25-001063,42,SC
0001096906-25-001063,44,TN
0001096906-25-001063,46,UT
0001096906-25-001063,48,VA
0001096906-25-001063,50,WV
0001096906-25-001063,3,AZ
0001831910-25-000002,14,IL
0001831910-25-000002,16,IA
0001831910-25-000002,18,KY
0001831910-25-000002,20,ME
0001831910-25-000002,22,MA
0001831910-25-000002,24,MN
0001831910-25-000002,26,MO
0001831910-25-000002,28,NE
0001831910-25-000002,30,NH
0001831910-25-000002,32,NM
0001831910-25-000002,34,NC
0001831910-25-000002,36,OH
